variant,target_label_noise_rate,actual_label_noise_rate,noisy_train_labels,split,dataset,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
label_noise_10,0.1,0.09999382754150979,1620,VAL,I23Sub,0.9170506912442397,0.45852534562211983,0.5,0.47836538461538464,0.8409819703115378,0.9170506912442397,0.8773706132577102,0.3874044394550238,0.0,0.0,0.9290397298994976,0.9290397298994976,0.9290397298994976,0.7707326408938487,0.45852534562211983,0.45852534562211983,0.8409819703115378,0.07606872093270191,0.0,0.9170506912442397
label_noise_10,0.1,0.09999382754150979,1620,TEST,I23Sub,0.9167626728110599,0.45838133640552997,0.5,0.4782870022539444,0.8404537982596785,0.9167626728110599,0.8769513411142309,0.38653745015000224,0.0,0.0,0.9167202058513708,0.9167202058513708,0.9167202058513708,0.7207509639378052,0.45838133640552997,0.45838133640552997,0.8404537982596785,0.07630887455138143,0.0,0.9167626728110599
label_noise_10,0.1,0.09997731654757853,1763,VAL,K99Sub,0.8565758137073299,0.8935485356949546,0.8461824837113339,0.8499343825867387,0.8864202614632821,0.8565758137073299,0.8520813609489927,0.49578643669769445,0.7382130032662333,0.7061013354608108,0.9807610269640246,0.9807610269640246,0.9807610269640246,0.9714561228954878,0.8935485356949546,0.8935485356949546,0.8864202614632821,0.9006768099266272,0.7887323943661971,0.9983646770237122
label_noise_10,0.1,0.09997731654757853,1763,TEST,K99Sub,0.8610743582958454,0.8967348544453186,0.8510215664018161,0.854892407288501,0.8897667115195595,0.8610743582958454,0.8569134297332097,0.49546901021123974,0.7463577963780971,0.7155197000071551,0.979129020803308,0.979129020803308,0.979129020803308,0.9710943136796149,0.8967348544453186,0.8967348544453186,0.8897667115195595,0.9037029973710777,0.7934697088906373,1.0
label_noise_10,0.1,0.09999961181781834,25761,VAL,NTD1,0.9150046193141677,0.4575023096570838,0.5,0.47780804812985983,0.837233453366265,0.9150046193141677,0.8743931423686158,0.18733019510744875,0.0,0.0,0.944235206049249,0.944235206049249,0.944235206049249,0.855871162249263,0.4575023096570838,0.4575023096570838,0.837233453366265,0.07777116594790273,0.0,0.9150046193141677
label_noise_10,0.1,0.09999961181781834,25761,TEST,NTD1,0.9149865043566473,0.45749325217832365,0.5,0.47780310841618345,0.8372003031547969,0.9149865043566473,0.8743667918809278,0.19341241930839306,0.0,0.0,0.9430249975711202,0.9430249975711202,0.9430249975711202,0.8460766138685061,0.45749325217832365,0.45749325217832365,0.8372003031547969,0.07778620120185036,0.0,0.9149865043566473
label_noise_10,0.1,0.10000511796918983,3908,VAL,NTD2,0.8632672557917364,0.8721481024862601,0.8586816487992863,0.860967499438511,0.8695329493129929,0.8632672557917364,0.8620138138424853,0.6066246662681808,0.7307056726132556,0.7233174059014624,0.9659757080098248,0.9659757080098248,0.9659757080098248,0.9499035943220113,0.8721481024862601,0.8721481024862601,0.8695329493129929,0.8747632556595273,0.9168405365126676,0.8274556684598525
label_noise_10,0.1,0.10000511796918983,3908,TEST,NTD2,0.8638643420109864,0.8744075619976039,0.8589091694186645,0.8613394435799184,0.8714888174815347,0.8638643420109864,0.8624343110411781,0.6076291273933222,0.7331529365708828,0.7243190307300205,0.9696494362296624,0.9696494362296624,0.9696494362296624,0.9588339382488414,0.8744075619976039,0.8744075619976039,0.8714888174815347,0.8773263065136733,0.9242883101150817,0.8245268138801262
label_noise_10,0.1,0.09999952160205902,83612,VAL,WII21,0.9994474521404253,0.9995954679711299,0.9963136546601434,0.997948155614426,0.9994476317876978,0.9994474521404253,0.9994465417375255,0.0716205256209033,0.9959037153468121,0.9958963153345197,0.9999939400233905,0.9999939400233905,0.9999939400233905,0.9999995227480543,0.9995954679711299,0.9995954679711299,0.9994476317876978,0.9997433041545619,0.999422417423741,0.9997685185185186
label_noise_10,0.1,0.09999952160205902,83612,TEST,WII21,0.9993302450186973,0.999532144650066,0.995508898560995,0.9975108872057525,0.9993305453117026,0.9993302450186973,0.9993288910117076,0.0719053887248015,0.995032909589157,0.9950217819015024,0.9999899689698807,0.9999899689698807,0.9999899689698807,0.9999992092090634,0.999532144650066,0.999532144650066,0.9993305453117026,0.9997337439884294,0.9992961643967467,0.9997681249033854
label_noise_10,0.1,0.09999931427474268,116664,VAL,global_weighted,0.9729357834862679,0.8665073645509104,0.8729483485405813,0.8690523012577195,0.9553675269406882,0.9729357834862679,0.9633065521750619,0.12588884090837493,0.7493848147604973,0.748646628061869,0.985266013150145,0.985266013150145,0.985266013150145,0.9628804205508563,0.8665073645509104,0.8665073645509104,0.9553675269406882,0.7776472021611328,0.7589050988443052,0.9741096302575156
label_noise_10,0.1,0.09999931427474268,116664,TEST,global_weighted,0.9729317834542677,0.8665818298389152,0.8724523605761559,0.8688241427293836,0.9553850570265858,0.9729317834542677,0.9632977193527138,0.127452843663568,0.7489658125842873,0.7481957822580677,0.9849232281241086,0.9849232281241086,0.9849232281241086,0.9603169376813181,0.8665818298389152,0.8665818298389152,0.9553850570265858,0.7777786026512445,0.7591356975406464,0.974027962137184
