variant,target_label_noise_rate,actual_label_noise_rate,split,dataset,noisy_train_labels,acc,prec_macro,rec_macro,f1_macro,logloss,mcc,kappa,auc_roc_macro,pr_auc,prec_weighted,rec_weighted,f1_weighted,auc_roc_micro,auc_roc_weighted,ppv_macro,npv_macro,ppv_weighted,npv_weighted,ppv_positive,npv_negative
label_noise_10,0.1000,0.1000,TEST,global_weighted,116664,0.9729,0.8666,0.8725,0.8688,0.1275,0.7490,0.7482,0.9849,0.9603,0.9554,0.9729,0.9633,0.9849,0.9849,0.8666,0.8666,0.9554,0.7778,0.7591,0.9740
label_noise_30,0.3000,0.3000,VAL,I23Sub,4860,0.9816,0.9901,0.8889,0.9325,0.4223,0.8732,0.8652,0.9764,0.9396,0.9819,0.9816,0.9805,0.9764,0.9764,0.9901,0.9901,0.9819,0.9984,1.0000,0.9803
label_noise_30,0.3000,0.3000,TEST,I23Sub,4860,0.9798,0.9892,0.8789,0.9257,0.4202,0.8611,0.8516,0.9799,0.9437,0.9803,0.9798,0.9786,0.9799,0.9799,0.9892,0.9892,0.9803,0.9982,1.0000,0.9785
label_noise_30,0.3000,0.3000,VAL,K99Sub,5290,0.8830,0.9018,0.8758,0.8797,0.5689,0.7773,0.7618,0.9559,0.9356,0.8970,0.8830,0.8811,0.9559,0.9559,0.9018,0.9018,0.8970,0.9067,0.8303,0.9734
label_noise_30,0.3000,0.3000,TEST,K99Sub,5290,0.8809,0.8990,0.8739,0.8777,0.5702,0.7724,0.7576,0.9511,0.9284,0.8943,0.8809,0.8790,0.9511,0.9511,0.8990,0.8990,0.8943,0.9037,0.8293,0.9686
label_noise_30,0.3000,0.3000,VAL,NTD1,77283,0.9150,0.4575,0.5000,0.4778,0.2734,0.0000,0.0000,0.9811,0.8720,0.8372,0.9150,0.8744,0.9811,0.9811,0.4575,0.4575,0.8372,0.0778,0.0000,0.9150
label_noise_30,0.3000,0.3000,TEST,NTD1,77283,0.9150,0.4575,0.5000,0.4778,0.2755,0.0000,0.0000,0.9790,0.8578,0.8372,0.9150,0.8744,0.9790,0.9790,0.4575,0.4575,0.8372,0.0778,0.0000,0.9150
label_noise_30,0.3000,0.3000,VAL,NTD2,11723,0.7854,0.8143,0.7760,0.7759,0.6275,0.5891,0.5617,0.9375,0.9170,0.8096,0.7854,0.7786,0.9375,0.9375,0.8143,0.8143,0.8096,0.8191,0.8962,0.7325
label_noise_30,0.3000,0.3000,TEST,NTD2,11723,0.7932,0.8238,0.7837,0.7839,0.6270,0.6062,0.5775,0.9422,0.9234,0.8188,0.7932,0.7865,0.9422,0.9422,0.8238,0.8238,0.8188,0.8288,0.9099,0.7378
label_noise_30,0.3000,0.3000,VAL,WII21,250837,0.9271,0.4636,0.5000,0.4811,0.2651,0.0000,0.0000,0.9982,0.9999,0.8596,0.9271,0.8921,0.9982,0.9982,0.4636,0.4636,0.8596,0.0675,0.9271,0.0000
label_noise_30,0.3000,0.3000,TEST,WII21,250837,0.9272,0.4636,0.5000,0.4811,0.2652,0.0000,0.0000,0.9981,0.9998,0.8596,0.9272,0.8921,0.9981,0.9981,0.4636,0.4636,0.8596,0.0675,0.9272,0.0000
label_noise_30,0.3000,0.3000,VAL,global_weighted,349993,0.9198,0.4879,0.5203,0.5025,0.2859,0.0436,0.0423,0.9915,0.9670,0.8553,0.9198,0.8854,0.9915,0.9915,0.4879,0.4879,0.8553,0.1206,0.7209,0.2549
label_noise_30,0.3000,0.3000,TEST,global_weighted,349993,0.9200,0.4882,0.5204,0.5027,0.2864,0.0439,0.0426,0.9910,0.9641,0.8555,0.9200,0.8857,0.9910,0.9910,0.4882,0.4882,0.8555,0.1209,0.7214,0.2550
