variant,hash_buckets,split,dataset,shared_categorical_features,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
hash_1024,1024,VAL,I23Sub,0,0.9904953917050692,0.9948709978240597,0.9427083333333333,0.967035537437607,0.9905928900183214,0.9904953917050692,0.9902310778809564,0.10589865651259198,0.9361271594429745,0.9340917248805809,0.9934634108040201,0.9934634108040201,0.9934634108040201,0.9702896856044223,0.9948709978240597,0.9948709978240597,0.9905928900183214,0.9991491056297979,1.0,0.9897419956481194
hash_1024,1024,TEST,I23Sub,0,0.9879032258064516,0.9934883720930232,0.9273356401384083,0.9575437419643357,0.9880607651912978,0.9879032258064516,0.98746892801307,0.1079993757305977,0.9184447057699949,0.9151310712327715,0.9910869487230498,0.9910869487230498,0.9910869487230498,0.9608990809950694,0.9934883720930232,0.9934883720930232,0.9880607651912978,0.9989159789947487,1.0,0.9869767441860465
hash_1024,1024,VAL,K99Sub,1,0.9102937284996031,0.9195512049823675,0.9055558463324683,0.9087212701262752,0.9163142370149248,0.9102937284996031,0.9095360318237454,0.27491960876583976,0.8249883490484723,0.8181825278070183,0.9787384859377473,0.9787384859377473,0.9787384859377473,0.9780271591204894,0.9195512049823675,0.9195512049823675,0.9163142370149248,0.9227881729498104,0.871953921134249,0.9671484888304862
hash_1024,1024,TEST,K99Sub,1,0.9105583487695157,0.920022832646024,0.9058082912721999,0.9089840893064702,0.9167570093868772,0.9105583487695157,0.9097918079444512,0.2737334855837019,0.825708781620717,0.8187246512232554,0.9799552836080603,0.9799552836080603,0.9799552836080603,0.9801365141507411,0.920022832646024,0.920022832646024,0.9167570093868772,0.9232886559051712,0.8716246126604692,0.968421052631579
hash_1024,1024,VAL,NTD1,2,0.9150046193141677,0.4575023096570838,0.5,0.47780804812985983,0.837233453366265,0.9150046193141677,0.8743931423686158,0.16465671264782972,0.0,0.0,0.9832224406548028,0.9832224406548028,0.9832224406548028,0.8539537206842004,0.4575023096570838,0.4575023096570838,0.837233453366265,0.07777116594790273,0.0,0.9150046193141677
hash_1024,1024,TEST,NTD1,2,0.9149865043566473,0.45749325217832365,0.5,0.47780310841618345,0.8372003031547969,0.9149865043566473,0.8743667918809278,0.17277848399798906,0.0,0.0,0.9819264744017585,0.9819264744017585,0.9819264744017585,0.8425920961424049,0.45749325217832365,0.45749325217832365,0.8372003031547969,0.07778620120185036,0.0,0.9149865043566473
hash_1024,1024,VAL,NTD2,0,0.860042990207786,0.8671032811447541,0.8558740157372149,0.8579519773888642,0.8648597386291157,0.860042990207786,0.8589604382956277,0.4989333628631374,0.7228900852862526,0.7170370741123582,0.9235591677244228,0.9235591677244228,0.9235591677244228,0.9168927749941919,0.8671032811447541,0.8671032811447541,0.8648597386291157,0.8693468236603925,0.9054449648711944,0.8287615974183138
hash_1024,1024,TEST,NTD2,0,0.8607594936708861,0.8703449895576085,0.8559759564222746,0.8582965605138433,0.8676110588332232,0.8607594936708861,0.8593897101940524,0.5003272898181481,0.7261787985447301,0.7181352701195819,0.9220210997184812,0.9220210997184812,0.9220210997184812,0.9131419596417569,0.8703449895576085,0.8703449895576085,0.8676110588332232,0.8730789202819937,0.9170673076923077,0.8236226714229092
hash_1024,1024,VAL,WII21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.870006615692692e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hash_1024,1024,TEST,WII21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8751868270029812e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
